artist,song,year,popularity,danceability,energy,loudness,tempo,genre
Artist 0,Song 0,2028,95,0.523200954,0.978084282,-2.19392299,101.4674016,classical
Artist 1,Song 1,1992,92,0.156025392,0.705353004,-8.157030173,112.3970161,hip-hop
Artist 2,Song 2,1994,77,0.655832227,0.497497117,-4.649874456,62.25795529,classical
Artist 3,Song 3,2003,84,0.212395209,0.094891844,-4.986098264,110.3449259,classical
Artist 4,Song 4,2018,34,0.968092168,0.385197238,-2.279442418,77.15185644,pop
Artist 5,Song 5,2022,56,0.180680191,0.351973849,-9.783285809,90.80873471,pop
Artist 6,Song 6,2008,59,0.849180095,0.279048588,-4.862125865,117.4355775,rock
Artist 7,Song 7,1996,32,0.7431767,0.752958888,-6.0792217,167.8917932,rock
Artist 8,Song 8,2007,50,0.680044478,0.339369738,-2.163441803,179.0838556,classical
Artist 9,Song 9,1997,84,0.719499637,0.960797443,-4.31984841,66.08098812,hip-hop
Artist 10,Song 10,2010,91,0.990429873,0.727712985,-5.107074849,153.3885992,jazz
Artist 11,Song 11,1996,54,0.458293154,0.947633748,-0.43533159,157.3943877,jazz
Artist 12,Song 12,2015,91,0.802401442,0.296408615,-2.249776985,116.5589605,hip-hop
Artist 13,Song 13,2002,75,0.665782748,0.726931021,-8.199194058,195.0453875,classical
Artist 14,Song 14,1992,62,0.062640274,0.572144456,-6.598979922,88.47783313,pop
Artist 15,Song 15,2002,49,0.558819377,0.977357685,-2.26130471,184.2032914,classical
Artist 16,Song 16,2000,58,0.930840754,0.010946597,-6.890272097,69.57432261,pop
Artist 17,Song 17,2021,25,0.434821942,0.390510092,-7.204369065,152.7657589,pop
Artist 18,Song 18,2009,89,0.580679859,0.174763535,-5.060063313,96.95289694,hip-hop
Artist 19,Song 19,2020,49,0.351398912,0.578019515,-1.5541922,171.1144116,hip-hop
Artist 20,Song 20,2006,20,0.943942444,0.526662974,-7.792785959,173.8644787,jazz
Artist 21,Song 21,2020,34,0.073428485,0.849518085,-4.903203199,90.72572521,rock
Artist 22,Song 22,1995,74,0.806841625,0.572841226,-2.940696123,127.9695373,hip-hop
Artist 23,Song 23,1995,74,0.186942602,0.878099163,-5.988628067,189.0886348,rock
Artist 24,Song 24,1990,65,0.694144205,0.38076476,-2.337877785,190.7576537,pop
Artist 25,Song 25,2009,82,0.755713501,0.232745853,-9.097035722,122.0984135,pop
Artist 26,Song 26,1990,66,0.57293025,0.215256266,-1.031727838,150.5476604,rock
Artist 27,Song 27,2011,46,0.376952171,0.972643444,-2.372058954,132.8491122,rock
Artist 28,Song 28,1999,20,0.803420425,0.411250617,-5.908839451,80.88675141,hip-hop
Artist 29,Song 29,2009,21,0.176254473,0.04521726,-9.232602689,164.2736717,classical
Artist 30,Song 30,1996,28,0.914488298,0.51034068,-0.359917673,186.0840924,rock
Artist 31,Song 31,2020,29,0.673691578,0.928849252,-9.427860784,128.9761617,rock
Artist 32,Song 32,2017,70,0.912503409,0.163356038,-7.397796037,83.83638858,classical
Artist 33,Song 33,2021,34,0.294202521,0.018745649,-4.370363467,171.873691,jazz
Artist 34,Song 34,1994,52,0.725014195,0.836946596,-1.314787093,81.15051455,jazz
Artist 35,Song 35,2008,43,0.756260672,0.553557149,-9.872872886,100.9110287,rock
Artist 36,Song 36,2004,82,0.043536154,0.552454434,-2.949814152,66.48982403,classical
Artist 37,Song 37,2004,51,0.241717133,0.880241859,-4.979984838,199.6779011,hip-hop
Artist 38,Song 38,2005,25,0.417219953,0.038360178,-6.570885024,114.0693078,jazz
Artist 39,Song 39,2006,74,0.256437243,0.352993311,-9.801004156,113.1433596,rock
Artist 40,Song 40,2018,58,0.159559041,0.634341156,-0.919795153,124.538313,jazz
Artist 41,Song 41,2003,84,0.62243893,0.234878668,-5.928138004,180.2884097,classical
Artist 42,Song 42,1998,33,0.814721083,0.595049119,-7.676002317,164.7498223,pop
Artist 43,Song 43,2022,68,0.245158806,0.004045351,-5.967422325,84.13698588,rock
Artist 44,Song 44,1992,34,0.538945705,0.337800279,-3.779968416,80.79828002,pop
Artist 45,Song 45,2004,44,0.480747623,0.835948323,-4.354372466,124.1786863,pop
Artist 46,Song 46,2013,61,0.711963997,0.99938357,-1.011499599,171.1501164,classical
Artist 47,Song 47,2019,32,0.815173844,0.894451714,-1.283432636,174.5293658,classical
Artist 48,Song 48,2011,51,0.854859453,0.626361551,-5.479638039,100.2294783,classical
Artist 49,Song 49,1998,87,0.448865631,0.503655611,-7.029338465,188.3579187,classical
Artist 50,Song 50,1995,75,0.269377055,0.57516525,-2.354339534,186.6340899,rock
Artist 51,Song 51,2010,51,0.953269835,0.992359892,-2.744810099,91.23671335,rock
Artist 52,Song 52,2018,69,0.658942334,0.569369698,-8.072781496,120.9623535,rock
Artist 53,Song 53,2007,81,0.975113187,0.001629195,-1.364293134,194.7469316,rock
Artist 54,Song 54,2022,45,0.570308131,0.467235262,-5.917066083,162.7440151,pop
Artist 55,Song 55,1998,44,0.112795393,0.338001831,-9.620548853,186.0595126,classical
Artist 56,Song 56,2003,96,0.189216184,0.524003702,-1.071471609,124.9925956,classical
Artist 57,Song 57,2006,38,0.527668239,0.78483054,-7.617411286,71.99874441,classical
Artist 58,Song 58,2008,85,0.771179751,0.856596465,-2.609264737,170.7853364,hip-hop
Artist 59,Song 59,2020,72,0.724590431,0.986010403,-7.44407968,172.0206649,classical
Artist 60,Song 60,2002,20,0.355048428,0.24294916,-9.235425785,101.2448776,classical
Artist 61,Song 61,2010,66,0.011277255,0.061936411,-4.043640721,153.5805663,hip-hop
Artist 62,Song 62,2020,70,0.198290094,0.883169822,-1.730169248,125.3596205,classical
Artist 63,Song 63,2007,72,0.734084147,0.24689311,-0.207284027,97.01740662,rock
Artist 64,Song 64,2012,45,0.646136206,0.248530958,-2.954068082,86.26491826,rock
Artist 65,Song 65,1999,82,0.263276083,0.730287812,-2.787963978,176.5010851,jazz
Artist 66,Song 66,2011,31,0.931537629,0.972000949,-1.13561897,184.3134868,pop
Artist 67,Song 67,1999,73,0.176411425,0.886918941,-8.387570461,164.5054094,hip-hop
Artist 68,Song 68,1994,56,0.941938413,0.412630077,-1.256967176,168.2021952,classical
Artist 69,Song 69,1990,61,0.784100006,0.161212353,-4.40253364,195.6210439,classical
Artist 70,Song 70,2002,59,0.961886872,0.674902796,-4.715754191,194.1567032,classical
Artist 71,Song 71,1999,83,0.739506573,0.008543005,-6.510070633,177.9001867,pop
Artist 72,Song 72,1996,89,0.808492393,0.826029349,-1.534255639,135.2465239,hip-hop
Artist 73,Song 73,2002,26,0.588560481,0.387667244,-4.804772474,125.1611178,pop
Artist 74,Song 74,1996,46,0.304165171,0.274065381,-6.433777085,159.4679875,rock
Artist 75,Song 75,2017,35,0.038183701,0.471390979,-3.834755396,70.1900251,classical
Artist 76,Song 76,2021,57,0.879028917,0.564925455,-9.039441816,127.6156316,jazz
Artist 77,Song 77,2011,66,0.209917927,0.244620128,-9.423571106,71.99197253,classical
Artist 78,Song 78,2004,23,0.554290514,0.45245715,-3.317788734,193.8304,hip-hop
Artist 79,Song 79,2011,60,0.232706958,0.23914082,-2.887009115,127.3124116,rock
Artist 80,Song 80,2020,26,0.344077021,0.530511659,-3.228643396,67.6349526,classical
Artist 81,Song 81,1997,37,0.232390654,0.796596723,-7.856853467,181.6895847,classical
Artist 82,Song 82,1998,84,0.61381022,0.39885944,-6.73424771,89.85253345,jazz
Artist 83,Song 83,2019,33,0.125282186,0.080056514,-3.255209517,145.4751537,rock
Artist 84,Song 84,2016,80,0.3244185,0.223920668,-4.859872102,139.2947167,classical
Artist 85,Song 85,1998,67,0.177177046,0.116560149,-0.599740499,88.34100311,rock
Artist 86,Song 86,1992,37,0.630005278,0.916935349,-9.614667189,92.41138012,rock
Artist 87,Song 87,1993,51,0.126202905,0.604106657,-6.979364029,137.1399806,rock
Artist 88,Song 88,2002,79,0.841612602,0.652969798,-3.400172213,73.06194964,jazz
Artist 89,Song 89,2012,47,0.271645152,0.06449826,-2.961715565,116.8177255,jazz
Artist 90,Song 90,1991,78,0.300181165,0.016567763,-6.063510442,72.04389467,hip-hop
Artist 91,Song 91,2010,62,0.064955968,0.056587158,-6.383124033,123.8429438,jazz
Artist 92,Song 92,2008,61,0.619587547,0.74073137,-2.045785121,139.0051848,hip-hop
Artist 93,Song 93,2013,87,0.064614681,0.127505014,-2.361284483,168.1936342,hip-hop
Artist 94,Song 94,2015,45,0.431771099,0.622099778,-1.629695533,172.720149,classical
Artist 95,Song 95,1990,59,0.024718565,0.469313476,-4.160311962,167.6656272,classical
Artist 96,Song 96,1995,95,0.224227587,0.397944974,-9.919500635,147.83387,rock
Artist 97,Song 97,2008,73,0.784351451,0.066204807,-8.685037576,74.89913853,classical
Artist 98,Song 98,2022,41,0.664911795,0.460475379,-7.381157853,189.1202074,hip-hop
Artist 99,Song 99,2016,82,0.080199687,0.443054562,-3.148527029,179.5690827,pop
Artist 100,Song 100,2018,78,0.721391053,0.436793086,-0.695611645,109.4352056,classical
Artist 101,Song 101,1994,76,0.34583253,0.374597992,-2.751508484,94.07326171,pop
Artist 102,Song 102,1996,33,0.668414344,0.039897228,-0.475070305,176.9992661,hip-hop
Artist 103,Song 103,1990,53,0.412368292,0.658846983,-8.809648986,190.1521043,jazz
Artist 104,Song 104,2020,56,0.02691698,0.430352444,-4.458198951,139.1400179,hip-hop
Artist 105,Song 105,2000,84,0.979115198,0.219130896,-2.955610939,146.5481207,hip-hop
Artist 106,Song 106,1996,59,0.819870062,0.246898514,-5.947468176,65.67947027,rock
Artist 107,Song 107,2019,34,0.010222718,0.386656717,-7.207862125,132.5515993,hip-hop
Artist 108,Song 108,2007,23,0.722504676,0.889380538,-0.650708121,72.2845751,rock
Artist 109,Song 109,1991,30,0.102442558,0.219984047,-3.998520093,103.9472617,jazz
Artist 110,Song 110,2013,21,0.418595443,0.591249262,-6.742474796,138.5758016,rock
Artist 111,Song 111,2006,47,0.512468525,0.128604261,-9.101215127,78.33211153,rock
Artist 112,Song 112,1991,60,0.411978222,0.459740931,-7.507682334,120.0590061,classical
Artist 113,Song 113,2017,33,0.170474977,0.763929899,-0.845982877,179.223758,rock
Artist 114,Song 114,2018,67,0.950823508,0.64130174,-4.600176074,190.1410369,rock
Artist 115,Song 115,1995,76,0.274741683,0.19028424,-8.017205646,137.1285676,hip-hop
Artist 116,Song 116,2015,93,0.671057586,0.959264172,-4.597671583,119.1731398,jazz
Artist 117,Song 117,2016,95,0.803496489,0.549608372,-3.241049948,84.07157559,pop
Artist 118,Song 118,2003,57,0.210746443,0.796130334,-2.973061893,119.0084569,pop
Artist 119,Song 119,2022,75,0.26677417,0.713080138,-8.804937629,150.62393,hip-hop
Artist 120,Song 120,1995,66,0.802635404,0.643910078,-6.163041746,176.2290278,pop
Artist 121,Song 121,1993,65,0.07932838,0.892756989,-2.702421147,168.4224777,rock
Artist 122,Song 122,2007,40,0.506829728,0.158061094,-4.652408563,129.1562971,rock
Artist 123,Song 123,2020,23,0.847620435,0.952382084,-1.477680293,178.2985811,rock
Artist 124,Song 124,1996,57,0.301445137,0.096820798,-6.465771065,84.3889538,pop
Artist 125,Song 125,2008,62,0.217243963,0.564754503,-3.925849893,121.8879608,hip-hop
Artist 126,Song 126,2014,64,0.316697482,0.423296541,-1.460876903,175.8638117,classical
Artist 127,Song 127,1997,23,0.775217673,0.723850605,-6.587726976,158.4898675,classical
Artist 128,Song 128,1992,44,0.627400456,0.601876466,-1.552602,150.4842192,jazz
Artist 129,Song 129,1999,64,0.008574365,0.550864244,-5.122670251,62.25288031,hip-hop
Artist 130,Song 130,2011,27,0.97932578,0.84838388,-1.009478191,196.42211,classical
