artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Artist_18,Song_32,209226,False,2017,54,0.597,0.844,5,-7.334,0,0.506,0.35,0.423,0.432,0.904,131.9,Reggae
Artist_14,Song_41,332551,False,2014,39,0.781,0.4,2,-34.074,0,0.875,0.262,0.616,0.189,0.805,197.127,Folk
Artist_4,Song_49,352414,False,1992,8,0.803,0.987,7,-53.027,0,0.484,0.406,0.574,0.367,0.698,79.824,Jazz
Artist_17,Song_94,356871,False,2023,89,0.517,0.1,3,-30.729,0,0.834,0.148,0.288,0.445,0.706,63.545,Rock
Artist_13,Song_69,265479,True,1993,35,0.706,0.219,5,-48.392,1,0.766,0.031,0.322,0.087,0.235,149.758,Reggae
Artist_17,Song_71,346315,True,1996,11,0.185,0.494,2,-23.91,1,0.868,0.355,0.385,0.957,0.592,126.303,Pop
Artist_17,Song_41,228002,True,2001,71,0.354,0.981,7,-50.336,0,0.124,0.172,0.011,0.964,0.432,129.814,Electronic
Artist_15,Song_19,204535,False,2011,14,0.437,0.478,9,-45.893,1,0.956,0.113,0.191,0.993,0.862,90.585,Electronic
Artist_17,Song_77,134963,True,1994,26,0.184,0.299,11,-2.793,1,0.355,0.329,0.082,0.486,0.409,85.87,R&B
Artist_15,Song_71,229636,True,1991,33,0.636,0.679,5,-19.026,0,0.819,0.599,0.778,0.554,0.309,115.46,Rock
Artist_1,Song_95,241810,False,2011,42,0.459,0.586,7,-3.34,0,0.635,0.845,0.405,0.745,0.874,101.616,Pop
Artist_13,Song_10,353318,True,2018,97,0.688,0.468,5,-30.007,0,0.183,0.147,0.474,0.328,0.191,91.537,Hip Hop
Artist_15,Song_54,329833,True,2016,29,0.46,0.643,1,-13.945,1,0.715,0.32,0.999,0.358,0.424,81.828,Jazz
Artist_3,Song_89,231791,False,2011,84,0.768,0.545,8,-38.893,0,0.841,0.005,0.303,0.289,0.456,180.704,Jazz
Artist_3,Song_10,225437,True,1996,83,0.859,0.823,2,-40.198,0,0.773,0.656,0.523,0.982,0.85,178.461,R&B
Artist_10,Song_83,256858,True,1998,44,0.75,0.832,2,-14.539,0,0.546,0.502,0.777,0.844,0.044,80.837,Hip Hop
Artist_9,Song_74,135917,True,2022,14,0.153,0.057,1,-18.297,1,0.189,0.371,0.737,0.826,0.35,96.326,Classical
Artist_9,Song_60,129115,False,1990,76,0.521,0.094,2,-45.042,1,0.982,0.966,0.131,0.345,0.125,94.428,Pop
Artist_20,Song_63,194447,False,2001,4,0.15,0.95,8,-3.608,0,0.295,0.806,0.142,0.462,0.959,118.958,Reggae
Artist_19,Song_17,273162,True,2007,36,0.123,0.649,8,-1.415,1,0.818,0.07,0.994,0.172,0.304,171.764,Country
Artist_1,Song_24,328582,True,2007,72,0.091,0.147,4,-5.796,1,0.547,0.945,0.128,0.833,0.786,129.734,R&B
Artist_17,Song_53,212562,False,2015,13,0.567,0.31,7,-31.208,0,0.899,0.914,0.202,0.467,0.759,164.381,R&B
Artist_4,Song_89,301654,False,1999,55,0.544,0.545,6,-52.319,1,0.648,0.877,0.574,0.347,0.655,70.449,Folk
Artist_20,Song_100,301759,False,1992,96,0.119,0.161,7,-56.392,0,0.113,0.572,0.14,0.525,0.503,66.685,Jazz
Artist_3,Song_29,354212,False,2007,90,0.24,0.954,11,-37.48,0,0.856,0.257,0.062,0.871,0.551,87.372,Reggae
Artist_5,Song_48,178584,False,2017,12,0.335,0.263,1,-49.438,1,0.401,0.828,0.425,0.707,0.511,102.71,Electronic
Artist_3,Song_71,202411,True,1992,60,0.501,0.113,11,-1.975,0,0.902,0.866,0.038,0.579,0.847,175.156,Country
Artist_15,Song_99,233741,False,2002,88,0.126,0.649,1,-12.147,0,0.445,0.838,0.419,0.728,0.944,165.344,Rock
Artist_10,Song_92,172403,False,2013,87,0.46,0.127,11,-0.075,0,0.88,0.114,0.701,0.59,0.489,187.153,Classical
Artist_5,Song_80,165056,False,2020,45,0.915,0.809,1,-25.971,1,0.098,0.062,0.531,0.139,0.006,162.393,R&B
Artist_11,Song_89,246144,True,1996,30,0.48,0.907,6,-50.767,1,0.84,0.738,0.152,0.031,0.85,113.978,R&B
Artist_7,Song_54,124933,False,2002,11,0.593,0.579,4,-7.519,1,0.651,0.696,0.534,0.213,0.377,125.397,Hip Hop
Artist_19,Song_19,273125,True,2022,91,0.283,0.447,4,-46.996,0,0.826,0.475,0.351,0.864,0.592,76.194,Country
Artist_18,Song_36,192486,True,1992,37,0.468,0.516,6,-37.271,0,0.38,0.958,0.855,0.069,0.981,72.053,Reggae
Artist_14,Song_97,247428,False,2011,49,0.596,0.191,10,-59.405,0,0.088,0.921,0.129,0.627,0.505,96.657,Reggae
Artist_9,Song_35,144583,True,2023,32,0.257,0.374,9,-2.854,0,0.876,0.431,0.345,0.68,0.419,189.79,Classical
Artist_6,Song_55,343868,False,2014,25,0.739,0.676,0,-50.007,1,0.182,0.044,0.922,0.404,0.215,67.257,Rock
Artist_15,Song_61,170552,False,2009,66,0.059,0.862,9,-9.12,0,0.017,0.289,0.945,0.712,0.095,185.95,Rock
Artist_10,Song_68,325801,True,2023,34,0.998,0.68,2,-3.555,0,0.3,0.819,0.103,0.188,0.09,198.042,Reggae
Artist_16,Song_54,176585,True,2011,60,0.914,0.537,6,-22.552,0,0.332,0.092,0.899,0.512,0.763,195.097,Hip Hop
Artist_20,Song_2,266811,False,2023,6,0.188,0.698,11,-57.401,1,0.24,0.564,0.404,0.701,0.782,136.503,Rock
Artist_20,Song_5,205051,True,2000,19,0.507,0.493,3,-58.419,1,0.032,0.515,0.613,0.869,0.289,181.173,Electronic
