artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
,Oops!...I Did It Again,211160,FALSE,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77E-05,0.355,0.894,95.053,
blink-182,,167066,FALSE,1999,79,0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,"rock, pop"
Faith Hill,Breathe,,FALSE,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,"pop, country"
Bon Jovi,It's My Life,224493,FALSE,2200,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35E-05,0.347,0.544,119.992,"rock, metal"
*NSYNC,Bye Bye Bye,200560,FALSE,2000,,"0.614",0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop
Sisqo,Slim Shady,284200,TRUE,2000,86,0.949,,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,hip hop
Robbie WilliamsThong Song,253733,TRUE,1999,69,0.706,0.888,2,,1,0.0654,0.119,9.64E-05,0.07,0.714,121.549,"hip hop, pop, R&B"
Eminem,The Real ,Rock DJ,258560,FALSE,2000,68,0.708,0.772,7,-4.264,1,0.0322,0.0267,0,0.467,0.861,
Destiny's Child,Say My Name,271333,FALSE,1999,75,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,-138.009,"pop, R&B"
Modjo,Lady - Hear Me Tonight,307153,FALSE,2001,77,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,
Gigi D'Agostino,L'Amour Toujours,238759,FALSE,2011,1,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,FALSE,1999,56,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop
Bomfunk MC's,Freestyler,306333,FALSE,2000,55,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,pop
Sting,Desert Rose,285960,FALSE,1999,62,0.586,0.659,0,-7.92,0,0.0304,0.011,0,0.106,0.147,111.989,"rock, pop"
Melanie C,Never Be The Same Again,294200,FALSE,1999,61,0.689,0.685,3,-5.153,1,0.0478,0.0921,0,0.119,0.398,160.067,"pop, Dance/Electronic"
Aaliyah,Try Again,284000,FALSE,2002,53,0.797,0.622,6,-5.642,0,0.29,0.0807,0,0.0841,0.731,93.02,"hip hop, pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,245400,FALSE,1999,64,0.761,0.716,10,-5.8,0,0.056,0.396,0,0.0771,0.649,119.41,pop
Alice Deejay,Better Off Alone,214883,FALSE,2000,73,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,pop
Gigi D'Agostino,The Riddle,285426,FALSE,1999,64,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop
Dr. Dre,The Next Episode,161506,TRUE,1999,82,0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,hip hop
Linkin Park,In the End,216880,FALSE,2000,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal"
Tom Jones,Sexbomb,211893,FALSE,1999,65,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38E-05,0.104,0.932,122.979,"rock, Folk/Acoustic, easy listening"
Sonique,It Feels So Good,240866,FALSE,2000,62,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop
M.O.P.,Cold as Ice,244466,TRUE,2000,54,0.656,0.88,11,-5.425,0,0.143,0.0421,0,0.294,0.758,85.565,hip hop
Melanie C,I Turn To You,352173,FALSE,1999,54,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,"pop, Dance/Electronic"
Limp Bizkit,Take A Look Around,321040,FALSE,2000,72,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,metal
Darude,Sandstorm,225493,FALSE,2001,69,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,"pop, Dance/Electronic"
Da Brat,What'chu Like (feat. Tyrese),221160,TRUE,2000,53,0.879,0.681,10,-8.951,0,0.24,0.017,0,0.0669,0.817,99.974,"hip hop, pop, R&B"
Moloko,The Time Is Now,318280,FALSE,2000,54,0.682,0.743,9,-10.644,0,0.165,0.35,0.000129,0.277,0.546,127.962,"pop, Dance/Electronic"
Chicane,Don't Give Up,210786,FALSE,2016,47,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic
DMX,Party Up,268866,TRUE,1999,71,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,"hip hop, pop"
Debelah Morgan,Dance with Me,220106,FALSE,2000,49,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,"pop, R&B"
Madonna,Music,225973,FALSE,2000,58,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop
Ruff Endz,No More,242560,FALSE,2000,52,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56E-06,0.0602,0.927,97.004,R&B
Britney Spears,Born to Make You Happy,243533,FALSE,1999,58,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,pop
Montell Jordan,Get It On Tonite,276266,FALSE,1999,59,0.813,0.491,10,-9.923,0,0.077,0.241,4.61E-05,0.0817,0.868,99.008,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,207866,FALSE,2000,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19E-05,0.0956,0.631,120.043,"pop, Dance/Electronic"
JAY-Z,Big Pimpin',283066,TRUE,1999,69,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,hip hop
LeAnn Rimes,I Need You,229826,FALSE,2001,61,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58E-05,0.118,0.564,144.705,"pop, country"
Avant,Separated,255600,FALSE,2000,55,0.798,0.48,0,-5.564,1,0.0276,0.247,0,0.237,0.643,108.241,"pop, R&B"
Enrique Iglesias,Be With You,219360,FALSE,1999,54,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,"pop, latin"
Toni Braxton,He Wasn't Man Enough,261933,FALSE,2000,66,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14E-05,0.326,0.766,88.009,"pop, R&B"
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,FALSE,2000,36,0.852,0.75,8,-5.153,1,0.168,0.434,0,0.265,0.934,72.016,"hip hop, pop, R&B"
Dr. Dre,Forgot About Dre,222293,TRUE,1999,79,0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974,hip hop
Missy Elliott,Hot Boyz,215466,TRUE,1998,49,0.727,0.445,1,-11.241,1,0.291,0.339,0,0.18,0.527,81.125,"hip hop, pop, R&B"
