artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Artist_15,Song_35,292483,False,1997,69,0.764,0.785,0,-10.86,1,0.951,0.782,0.363,0.42,0.253,128.461,Classical
Artist_19,Song_44,317703,False,2022,54,0.838,0.177,7,-57.968,0,0.031,0.653,0.598,0.099,0.082,159.478,R&B
Artist_13,Song_82,124231,True,2005,87,0.71,0.603,9,-58.338,0,0.586,0.251,0.975,0.62,0.558,143.789,Reggae
Artist_8,Song_52,316642,True,2000,65,0.842,0.721,11,-38.258,0,0.234,0.902,0.226,0.757,0.575,140.607,R&B
Artist_9,Song_25,321281,True,1990,68,0.649,0.651,11,-48.99,0,0.853,0.647,0.891,0.704,0.64,157.736,R&B
Artist_1,Song_46,134356,False,2009,53,0.9,0.443,7,-7.489,0,0.305,0.866,0.509,0.513,0.441,72.669,Classical
Artist_18,Song_43,224791,False,1998,85,0.585,0.321,11,-59.941,1,0.048,0.901,0.453,0.235,0.206,81.607,Folk
Artist_20,Song_90,184940,True,1999,37,0.668,0.587,11,-17.252,1,0.35,0.686,0.27,0.449,0.154,107.605,Jazz
Artist_4,Song_92,220510,True,2018,65,0.999,0.04,3,-13.167,0,0.122,0.577,0.256,0.949,0.955,173.586,R&B
Artist_4,Song_69,231294,True,2020,96,0.472,0.805,2,-23.27,1,0.794,0.986,0.01,0.461,0.492,187.239,R&B
Artist_13,Song_48,200035,True,2021,33,0.459,0.002,8,-36.835,1,0.211,0.349,0.08,0.451,0.261,65.527,Classical
Artist_17,Song_36,316334,True,2018,3,0.253,0.226,10,-1.396,0,0.564,0.004,0.257,0.087,0.757,115.149,Pop
Artist_12,Song_10,135854,True,2011,85,0.39,0.964,5,-57.427,0,0.492,0.608,0.029,0.979,0.969,63.129,Hip Hop
Artist_1,Song_31,134138,True,2015,70,0.145,0.786,6,-49.076,1,0.631,0.103,0.415,0.461,0.594,146.103,Jazz
Artist_9,Song_39,274612,False,2018,70,0.661,0.109,5,-37.893,0,0.242,0.266,0.579,0.279,0.113,106.563,Country
Artist_18,Song_27,136375,False,1999,46,0.882,0.023,9,-19.816,0,0.483,0.501,0.545,0.572,0.987,142.996,Folk
Artist_12,Song_24,192208,True,2001,83,0.453,0.455,2,-3.095,0,0.935,0.937,0.45,0.19,0.396,198.358,Country
Artist_6,Song_36,134655,True,2013,51,0.915,0.007,1,-46.193,0,0.036,0.017,0.736,0.868,0.06,177.407,Jazz
Artist_10,Song_70,150787,False,2002,90,0.874,0.844,7,-7.882,1,0.585,0.323,0.72,0.305,0.057,131.334,Jazz
Artist_6,Song_63,271874,True,2018,67,0.337,0.194,10,-43.578,1,0.024,0.471,0.126,0.708,0.299,91.678,Folk
Artist_3,Song_89,223516,True,2007,18,0.252,0.828,5,-1.718,1,0.666,0.935,0.446,0.628,0.223,98.475,Pop
Artist_7,Song_19,134686,True,2015,53,0.961,0.211,0,-27.769,0,0.765,0.424,0.262,0.638,0.344,77.615,Classical
Artist_8,Song_5,129292,True,2004,54,0.818,0.167,2,-35.841,1,0.978,0.205,0.309,0.712,0.908,147.499,Electronic
Artist_14,Song_54,217563,True,2013,28,0.225,0.758,5,-56.671,0,0.114,0.438,0.33,0.541,0.005,90.543,Electronic
Artist_19,Song_94,202783,False,2020,55,0.33,0.203,4,-45.015,0,0.64,0.513,0.527,0.644,0.299,161.096,Classical
Artist_6,Song_83,223846,True,2014,95,0.472,0.764,6,-3.91,0,0.388,0.916,0.765,0.727,0.778,111.768,Folk
Artist_1,Song_9,252244,True,2023,70,0.969,0.594,4,-4.078,1,0.073,0.82,0.33,0.61,0.78,66.843,Pop
Artist_13,Song_100,322131,True,1991,97,0.122,0.26,10,-36.462,0,0.113,0.702,0.186,0.492,0.042,91.236,Classical
Artist_12,Song_1,267636,True,2005,38,0.89,0.726,4,-41.415,0,0.025,0.11,0.546,0.479,0.764,143.23,Classical
Artist_16,Song_43,216015,True,2003,19,0.085,0.389,6,-50.879,0,0.346,0.788,0.859,0.08,0.677,130.603,Pop
Artist_19,Song_53,339442,True,2018,84,0.006,0.127,10,-3.394,0,0.532,0.299,0.336,0.192,0.392,168.906,Pop
Artist_19,Song_83,127867,True,2001,35,0.154,0.957,7,-18.646,1,0.29,0.591,0.043,0.733,0.664,176.846,Country
Artist_15,Song_22,350790,False,1999,44,0.662,0.011,5,-8.452,1,0.999,0.996,0.858,0.105,0.216,185.638,Classical
Artist_6,Song_17,153568,True,2024,1,0.094,0.333,8,-50.342,1,0.595,0.856,0.005,0.841,0.262,191.303,Country
Artist_17,Song_62,239034,False,2019,75,0.95,0.574,6,-42.092,1,0.115,0.261,0.502,0.53,0.521,85.015,Folk
Artist_19,Song_82,161985,False,2014,15,0.161,0.807,9,-21.086,1,0.209,0.901,0.333,0.701,0.989,180.119,Pop
Artist_9,Song_35,252562,True,2024,81,0.127,0.481,3,-54.295,0,0.362,0.304,0.576,0.63,0.557,198.777,Electronic
Artist_15,Song_96,190120,False,2024,42,0.999,0.18,7,-15.026,0,0.961,0.476,0.5,0.289,0.43,124.482,Country
Artist_18,Song_65,260164,False,2000,1,0.862,0.756,5,-8.178,0,0.765,0.822,0.53,0.611,0.695,184.305,R&B
Artist_7,Song_70,184067,True,2007,96,0.493,0.98,4,-39.082,1,0.809,0.382,0.872,0.377,0.803,171.049,Folk
Artist_7,Song_3,199414,False,2011,59,0.776,0.625,10,-12.965,0,0.351,0.752,0.267,0.498,0.216,105.347,Electronic
Artist_11,Song_74,186439,False,2008,38,0.097,0.652,9,-0.802,0,0.662,0.455,0.805,0.406,0.413,76.387,R&B
Artist_15,Song_59,323284,True,2018,25,0.705,0.927,7,-18.596,1,0.31,0.693,0.495,0.761,0.577,100.879,Jazz
Artist_12,Song_25,323635,False,1994,22,0.308,0.015,3,-20.13,0,0.427,0.472,0.31,0.558,0.44,98.274,Electronic
Artist_20,Song_13,230662,False,2002,75,0.59,0.882,5,-30.039,1,0.813,0.074,0.48,0.549,0.535,199.958,Country
Artist_4,Song_49,335503,True,2019,20,0.954,0.749,2,-39.726,1,0.411,0.531,0.841,0.095,0.021,74.411,Country
Artist_1,Song_2,311790,True,2001,6,0.278,0.125,3,-24.859,1,0.039,0.639,0.624,0.986,0.417,72.819,Jazz
Artist_2,Song_55,234113,False,2019,47,0.053,0.466,3,-59.97,0,0.805,0.858,0.754,0.476,0.547,193.824,Electronic
Artist_18,Song_97,214995,False,2004,53,0.905,0.323,5,-44.896,0,0.963,0.091,0.627,0.484,0.632,144.553,Country
Artist_1,Song_50,216882,False,2005,35,0.051,0.791,1,-54.664,0,0.743,0.166,0.407,0.59,0.92,171.157,Country
